holedis,avg_strokes,count
0.5022502391369117,1.0214047137413558,21257
1.6431301548984107,1.34987929993965,6628
2.646577963301157,1.6376206626663188,3833
3.6502805236441356,1.7993588030991183,3743
4.846912759117615,1.882607249750582,3007
5.78373413493654,1.9198396793587174,1996
6.684921962095875,1.979933110367893,2392
7.706340378197997,2.0055617352614017,899
8.467010530840318,2.0567375886524824,1551
9.861351462711166,2.0982694684796046,1618
10.81118373275236,2.10239651416122,459
11.689746500189178,2.1940976163450623,881
12.68995633187773,2.2576419213973797,229
13.455347871235723,2.2725856697819315,642
14.90774586597041,2.352480417754569,383
15.766283524904216,2.2988505747126435,87
16.67013888888889,2.3506944444444446,288
17.676470588235293,2.1470588235294117,34
18.45,2.3833333333333333,120
19.941666666666666,2.41875,160
20.70967741935484,2.5161290322580645,31
21.645390070921987,2.574468085106383,47
22.583333333333332,2.625,8
23.43089430894309,2.7560975609756095,41
